Lat,Long,ISP,Hosting,IP
43.7043,-79.3888,OVH Hosting,true,192.99.253.155
46.948,7.44745,UA VPS LLC,false,185.222.202.12
39.9334,32.8597,Radore Veri Merkezi Hizmetleri A.S.,true,176.53.90.26
52.3667,4.89454,Markus Koch,false,185.220.101.216
38.8339,-104.821,Quintex Alliance Consulting,false,199.249.230.114
48.8226,2.3031,Online S.A.S.,true,62.210.37.82
-6.84196,106.725,PT Cloud Hosting Indonesia,true,103.236.201.110
38.8339,-104.821,The Calyx Institute,false,162.247.74.201
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.41
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.33
40.7308,-73.9975,"Hosting Services, Inc.",true,209.95.51.11
46.948,7.44745,UA VPS LLC,false,185.222.202.133
49.7662,-97.1637,Hextet Systems,true,192.160.102.165
10.0688,-84.2469,Data Miners S.A. ( Racknation.cr ),true,138.59.18.110
52.3667,4.89454,Markus Koch,false,185.220.101.144
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.74
52.3667,4.89454,Markus Koch,false,185.220.101.5
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.247
47.3878,8.52029,Datasource AG,true,176.10.99.200
47.3667,8.55,SWITCH,false,195.176.3.23
52.3702,4.89517,Liteserver Holding B.V.,true,5.2.72.110
42.457,-2.45723,arsys.es,true,82.223.14.245
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.39
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.31
52.3667,4.89454,Markus Koch,false,185.220.101.215
52.3667,4.89454,Markus Koch,false,185.220.101.134
47.0056,28.8575,I.C.S. Trabia-Network S.R.L.,true,178.17.170.91
51.0603,13.7384,Zwiebelfreunde e.V.,false,185.220.102.4
47.0056,28.8575,I.C.S. Trabia-Network S.R.L.,true,178.17.171.39
-6.84196,106.725,PT Cloud Hosting Indonesia,true,103.236.201.88
33.7485,-84.3871,"Linode, LLC",true,50.116.37.141
47.3769,8.54169,Datasource AG,true,176.10.107.180
47.3667,8.55,SWITCH,false,195.176.3.19
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.68
51.0603,13.7384,Zwiebelfreunde e.V.,false,185.220.102.6
46.0929,21.6925,Netaction Telecom Srl-d,false,89.34.27.43
47.0056,28.8575,Alexhost SRL,true,176.123.7.145
49.7866,6.0753,FranTech Solutions,true,104.244.74.47
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.243
50.9729,11.0277,Keyweb AG IP Network,true,87.118.116.90
51.2705,6.8144,myLoc managed IT AG,true,89.163.143.8
51.5164,-0.093,UK Dedicated Servers Limited,true,91.244.181.85
52.3667,4.89454,Markus Koch,false,185.220.101.7
48.8607,2.3281,31173 Services AB,true,193.32.126.162
45.3161,-73.8736,OVH Hosting,true,144.217.60.239
45.5017,-73.5673,FranTech Solutions,true,198.251.89.176
50.9729,11.0277,Keyweb AG IP Network,true,87.118.122.30
45.5746,-73.571,Concorde inc.,false,216.239.90.19
36.1697,-115.1236,FranTech Solutions,true,209.141.41.103
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.109
42.4603,-84.4207,"Comcast Cable Communications, LLC",false,96.66.15.147
40.4608,-78.5861,"Comcast Cable Communications, LLC",false,67.163.129.15
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.79
42.3649,-71.0987,Massachusetts Institute of Technology,false,18.18.248.17
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.248
40.7357,-74.1724,OVH SAS,true,142.44.139.12
47.0642,21.9379,Parfumuri Femei.com SRL,true,188.213.49.176
43.5995,1.4332,Tetaneutral.net,false,89.234.157.254
48.792,2.39851,Online S.A.S.,true,195.154.179.3
47.394,8.445,M247 Ltd,true,195.206.105.217
52.3667,4.89454,Markus Koch,false,185.220.101.12
37.7703,-122.4407,Monkey Brains,false,192.195.80.10
50.1109,8.68213,OVH SAS,true,54.36.108.162
50.9288,12.1962,NbIServ,false,46.182.21.250
52.0188,8.5361,NbIServ,false,31.185.104.20
50.9729,11.0277,Keyweb AG IP Network,true,87.118.116.103
40.7433,-74.0079,The Calyx Institute,false,162.247.74.213
48.8714,2.32125,Online,true,212.83.166.62
45.3161,-73.8736,OVH SAS,true,144.217.80.80
37.9681,-91.3549,Emerald Onion,true,23.129.64.184
60.0842,30.2703,TheServer,true,91.240.84.192
35.685,139.7514,EHOSTICT,true,45.114.130.4
49.405,11.1617,Contabo GmbH,true,62.171.144.155
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.32
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.24
52.3667,4.89454,Markus Koch,false,185.220.101.130
59.3293,18.0686,IP-Only Networks AB,false,62.102.148.69
48.3825,3.97755,OVH SAS,true,51.178.52.245
35.9108,-79.0526,University of North Carolina at Chapel Hill,false,204.85.191.8
7.56448,99.6239,"Bangmod Enterprise Co., Ltd.",true,45.64.186.102
59.3333,18.05,DataClub S.A.,true,185.29.8.145
50.9729,11.0277,Keyweb AG IP Network,true,87.118.96.154
38.8339,-104.821,The Calyx Institute,false,162.247.74.74
49.7662,-97.1637,Hextet Systems,true,192.160.102.166
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.82
51.2705,6.8144,myLoc managed IT AG,true,89.163.239.216
37.5625,-122.0004,"Linode, LLC",true,23.239.22.248
-33.8591,151.2002,OVH SAS,true,139.99.172.11
52.3759,4.8975,31173 Services AB,true,185.65.134.175
45.3161,-73.8736,OVH SAS,true,144.217.166.65
40.7433,-74.0079,The Calyx Institute,false,162.247.74.217
52.3667,4.89454,Markus Koch,false,185.220.101.200
47.6036,-122.336,Emerald Onion,true,23.129.64.189
44.418,26.1691,M247 Ltd,true,83.97.20.248
47.6036,-122.336,Emerald Onion,true,23.129.64.197
52.3678,4.89998,LeaseWeb,true,37.48.120.196
